20260201 190100;4756.815000;4767.495000;4756.355000;4764.648000;0
20260201 190200;4764.648000;4772.795000;4764.648000;4770.885000;0
20260201 190300;4770.885000;4772.635000;4767.485000;4768.225000;0
20260201 190400;4768.225000;4784.955000;4768.095000;4784.405000;0
20260201 190500;4784.225000;4786.355000;4777.135000;4783.895000;0
20260201 190600;4783.875000;4789.305000;4779.905000;4784.195000;0
20260201 190700;4784.185000;4790.705000;4778.238000;4778.365000;0
20260201 190800;4778.425000;4808.185000;4776.968000;4807.255000;0
20260201 190900;4807.385000;4821.148000;4804.085000;4817.248000;0
20260201 191000;4816.888000;4823.148000;4812.898000;4816.048000;0
20260201 191100;4816.048000;4833.348000;4812.978000;4832.948000;0
20260201 191200;4832.645000;4835.248000;4816.248000;4821.898000;0
20260201 191300;4821.665000;4839.648000;4821.665000;4837.765000;0
20260201 191400;4837.785000;4845.555000;4837.785000;4844.655000;0
20260201 191500;4844.615000;4854.038000;4840.635000;4852.845000;0
20260201 191600;4852.845000;4854.085000;4845.105000;4845.655000;0
20260201 191700;4845.585000;4852.148000;4844.115000;4849.548000;0
20260201 191800;4848.168000;4871.748000;4845.135000;4866.685000;0
20260201 191900;4866.005000;4874.548000;4860.558000;4864.628000;0
20260201 192000;4863.635000;4865.398000;4846.248000;4857.438000;0
20260201 192100;4857.488000;4882.798000;4857.488000;4882.648000;0
20260201 192200;4882.035000;4884.248000;4871.858000;4877.298000;0
20260201 192300;4877.498000;4877.498000;4858.248000;4866.048000;0
20260201 192400;4865.528000;4876.448000;4854.438000;4855.948000;0
20260201 192500;4855.948000;4856.448000;4825.258000;4845.248000;0
20260201 192600;4844.935000;4853.448000;4842.048000;4842.648000;0
20260201 192700;4843.638000;4853.548000;4842.105000;4849.358000;0
20260201 192800;4849.298000;4850.648000;4830.745000;4843.348000;0
20260201 192900;4843.415000;4851.548000;4841.918000;4845.268000;0
20260201 193000;4845.548000;4846.148000;4826.038000;4831.155000;0
20260201 193100;4831.305000;4834.285000;4823.615000;4825.775000;0
20260201 193200;4825.825000;4833.005000;4822.295000;4823.108000;0
20260201 193300;4822.148000;4833.098000;4809.448000;4811.948000;0
20260201 193400;4812.248000;4822.848000;4810.945000;4818.538000;0
20260201 193500;4817.775000;4830.638000;4813.315000;4826.575000;0
20260201 193600;4827.615000;4844.928000;4827.615000;4829.795000;0
20260201 193700;4829.925000;4834.918000;4824.215000;4831.755000;0
20260201 193800;4831.745000;4832.575000;4824.995000;4826.365000;0
20260201 193900;4826.245000;4834.425000;4821.615000;4832.705000;0
20260201 194000;4832.675000;4839.185000;4827.925000;4828.175000;0
20260201 194100;4828.175000;4838.355000;4827.405000;4831.015000;0
20260201 194200;4830.995000;4834.105000;4825.545000;4827.645000;0
20260201 194300;4827.625000;4832.045000;4803.095000;4805.695000;0
20260201 194400;4806.408000;4817.895000;4794.315000;4803.455000;0
20260201 194500;4803.925000;4806.705000;4788.465000;4792.925000;0
20260201 194600;4793.695000;4807.665000;4792.075000;4794.195000;0
20260201 194700;4794.155000;4798.745000;4780.625000;4781.048000;0
20260201 194800;4781.048000;4797.125000;4776.685000;4791.238000;0
20260201 194900;4791.258000;4798.488000;4790.995000;4796.485000;0
20260201 195000;4796.645000;4798.395000;4790.375000;4795.065000;0
20260201 195100;4795.065000;4795.795000;4779.965000;4787.575000;0
20260201 195200;4787.575000;4798.448000;4785.448000;4794.808000;0
20260201 195300;4795.155000;4795.155000;4788.548000;4788.548000;0
20260201 195400;4788.425000;4793.695000;4787.118000;4790.565000;0
20260201 195500;4790.555000;4795.355000;4778.535000;4778.565000;0
20260201 195600;4778.575000;4780.845000;4758.388000;4764.748000;0
20260201 195700;4764.748000;4774.088000;4764.048000;4770.468000;0
20260201 195800;4770.488000;4780.748000;4769.238000;4780.548000;0
20260201 195900;4781.748000;4781.748000;4762.615000;4765.848000;0
20260201 200000;4764.948000;4765.645000;4730.175000;4737.648000;0
20260201 200100;4737.309000;4759.548000;4732.525000;4748.098000;0
20260201 200200;4748.078000;4780.365000;4743.485000;4778.218000;0
20260201 200300;4778.308000;4783.748000;4766.609000;4771.659000;0
20260201 200400;4771.218000;4775.948000;4753.848000;4755.255000;0
20260201 200500;4755.275000;4766.325000;4753.748000;4761.115000;0
20260201 200600;4761.448000;4762.248000;4728.065000;4748.518000;0
20260201 200700;4748.558000;4748.738000;4697.288000;4697.298000;0
20260201 200800;4697.518000;4713.548000;4690.475000;4711.348000;0
20260201 200900;4710.435000;4712.248000;4646.085000;4653.965000;0
20260201 201000;4653.955000;4658.965000;4583.098000;4584.335000;0
20260201 201100;4583.195000;4624.048000;4582.798000;4613.838000;0
20260201 201200;4614.318000;4631.325000;4587.785000;4591.548000;0
20260201 201300;4591.255000;4645.758000;4589.945000;4633.448000;0
20260201 201400;4633.225000;4649.548000;4616.068000;4641.789000;0
20260201 201500;4641.795000;4673.175000;4636.835000;4669.015000;0
20260201 201600;4668.915000;4688.879000;4652.685000;4682.709000;0
20260201 201700;4681.765000;4700.448000;4672.048000;4681.748000;0
20260201 201800;4680.875000;4691.755000;4664.875000;4669.365000;0
20260201 201900;4669.315000;4682.948000;4667.115000;4676.748000;0
20260201 202000;4677.348000;4708.908000;4667.148000;4701.268000;0
20260201 202100;4701.278000;4701.368000;4676.248000;4690.749000;0
20260201 202200;4690.749000;4690.749000;4676.228000;4682.248000;0
20260201 202300;4682.438000;4682.438000;4643.418000;4648.125000;0
20260201 202400;4648.248000;4674.178000;4646.935000;4672.265000;0
20260201 202500;4672.285000;4681.615000;4655.118000;4660.548000;0
20260201 202600;4660.448000;4692.468000;4660.305000;4688.688000;0
20260201 202700;4688.808000;4691.468000;4678.058000;4682.545000;0
20260201 202800;4682.115000;4706.548000;4680.215000;4702.348000;0
20260201 202900;4702.308000;4703.075000;4687.255000;4695.945000;0
20260201 203000;4695.925000;4696.665000;4664.945000;4676.605000;0
20260201 203100;4676.995000;4690.615000;4675.705000;4684.615000;0
20260201 203200;4684.645000;4691.585000;4677.125000;4690.795000;0
20260201 203300;4690.655000;4708.348000;4688.388000;4708.348000;0
20260201 203400;4707.325000;4708.228000;4688.898000;4702.598000;0
20260201 203500;4702.648000;4724.688000;4701.938000;4723.988000;0
20260201 203600;4724.068000;4738.448000;4720.978000;4733.875000;0
20260201 203700;4734.205000;4734.205000;4713.888000;4715.348000;0
20260201 203800;4715.035000;4724.595000;4707.178000;4713.848000;0
20260201 203900;4713.848000;4724.248000;4707.808000;4711.678000;0
20260201 204000;4711.365000;4722.865000;4704.378000;4715.285000;0
20260201 204100;4715.485000;4716.015000;4691.438000;4697.228000;0
20260201 204200;4697.228000;4707.635000;4689.538000;4701.108000;0
20260201 204300;4701.108000;4713.115000;4691.468000;4713.115000;0
20260201 204400;4713.015000;4716.045000;4699.375000;4713.605000;0
20260201 204500;4713.855000;4718.805000;4706.008000;4709.118000;0
20260201 204600;4709.408000;4718.448000;4703.145000;4718.448000;0
20260201 204700;4718.048000;4729.948000;4715.955000;4729.348000;0
20260201 204800;4729.448000;4729.748000;4718.759000;4724.948000;0
20260201 204900;4724.948000;4729.648000;4719.108000;4720.748000;0
20260201 205000;4720.748000;4730.148000;4715.145000;4730.048000;0
20260201 205100;4730.248000;4748.748000;4729.725000;4741.989000;0
20260201 205200;4741.925000;4743.659000;4732.878000;4732.969000;0
20260201 205300;4733.015000;4740.765000;4731.805000;4737.155000;0
20260201 205400;4737.155000;4742.635000;4732.955000;4734.955000;0
20260201 205500;4734.548000;4743.948000;4730.918000;4734.045000;0
20260201 205600;4733.975000;4734.695000;4720.785000;4732.765000;0
20260201 205700;4732.398000;4742.698000;4730.685000;4737.355000;0
20260201 205800;4737.015000;4742.548000;4726.775000;4731.745000;0
20260201 205900;4731.319000;4741.725000;4730.775000;4736.205000;0
20260201 210000;4735.975000;4747.788000;4731.815000;4737.755000;0
20260201 210100;4737.765000;4740.545000;4724.848000;4729.515000;0
20260201 210200;4729.465000;4736.425000;4720.705000;4729.235000;0
20260201 210300;4729.648000;4733.248000;4710.825000;4715.275000;0
20260201 210400;4715.735000;4728.245000;4708.645000;4724.075000;0
20260201 210500;4724.005000;4724.765000;4708.358000;4709.385000;0
20260201 210600;4709.665000;4723.665000;4707.128000;4721.448000;0
20260201 210700;4721.468000;4725.035000;4712.928000;4722.545000;0
20260201 210800;4722.505000;4723.355000;4712.735000;4718.548000;0
20260201 210900;4717.648000;4723.148000;4710.998000;4710.998000;0
20260201 211000;4710.998000;4719.525000;4696.788000;4698.445000;0
20260201 211100;4698.705000;4709.855000;4696.528000;4708.088000;0
20260201 211200;4708.425000;4716.645000;4707.755000;4716.075000;0
20260201 211300;4716.385000;4730.225000;4709.898000;4729.308000;0
20260201 211400;4729.748000;4739.598000;4729.225000;4730.538000;0
20260201 211500;4730.548000;4736.548000;4725.595000;4733.465000;0
20260201 211600;4733.445000;4744.798000;4728.755000;4738.698000;0
20260201 211700;4738.698000;4740.548000;4727.048000;4727.948000;0
20260201 211800;4727.948000;4736.568000;4720.895000;4733.598000;0
20260201 211900;4733.678000;4736.958000;4728.348000;4734.718000;0
20260201 212000;4734.758000;4738.028000;4730.478000;4733.358000;0
20260201 212100;4733.408000;4739.438000;4727.525000;4729.238000;0
20260201 212200;4729.248000;4729.958000;4717.685000;4724.168000;0
20260201 212300;4724.168000;4730.538000;4721.525000;4724.788000;0
20260201 212400;4723.465000;4727.355000;4714.928000;4724.188000;0
20260201 212500;4724.218000;4731.508000;4722.748000;4725.238000;0
20260201 212600;4725.358000;4729.948000;4723.268000;4727.908000;0
20260201 212700;4727.628000;4745.328000;4724.408000;4739.218000;0
20260201 212800;4738.865000;4742.958000;4735.458000;4740.868000;0
20260201 212900;4740.908000;4745.278000;4734.625000;4737.725000;0
20260201 213000;4738.925000;4748.055000;4734.688000;4743.335000;0
20260201 213100;4743.365000;4748.465000;4741.008000;4747.415000;0
20260201 213200;4747.415000;4768.528000;4746.335000;4767.508000;0
20260201 213300;4766.955000;4770.958000;4755.005000;4757.098000;0
20260201 213400;4757.108000;4766.428000;4752.615000;4752.968000;0
20260201 213500;4753.058000;4761.605000;4751.538000;4761.035000;0
20260201 213600;4760.845000;4764.955000;4750.555000;4757.815000;0
20260201 213700;4757.845000;4761.925000;4752.805000;4755.245000;0
20260201 213800;4755.185000;4761.025000;4751.185000;4757.385000;0
20260201 213900;4757.395000;4757.395000;4749.915000;4754.795000;0
20260201 214000;4754.915000;4759.475000;4751.705000;4755.635000;0
20260201 214100;4755.535000;4759.025000;4744.775000;4753.335000;0
20260201 214200;4753.375000;4771.945000;4751.595000;4766.098000;0
20260201 214300;4766.295000;4772.045000;4759.898000;4771.945000;0
20260201 214400;4771.845000;4771.955000;4763.475000;4763.485000;0
20260201 214500;4763.775000;4763.775000;4747.855000;4756.525000;0
20260201 214600;4756.825000;4757.055000;4747.325000;4747.325000;0
20260201 214700;4747.735000;4751.135000;4740.545000;4742.135000;0
20260201 214800;4742.095000;4742.415000;4726.815000;4735.645000;0
20260201 214900;4735.665000;4736.065000;4719.998000;4728.635000;0
20260201 215000;4728.615000;4730.065000;4723.515000;4726.285000;0
20260201 215100;4726.275000;4731.925000;4719.415000;4726.215000;0
20260201 215200;4726.215000;4732.395000;4722.295000;4727.375000;0
20260201 215300;4727.695000;4734.148000;4723.575000;4730.285000;0
20260201 215400;4730.285000;4733.378000;4724.785000;4727.005000;0
20260201 215500;4726.805000;4731.765000;4723.825000;4729.805000;0
20260201 215600;4729.995000;4738.805000;4726.855000;4732.015000;0
20260201 215700;4732.015000;4732.015000;4701.765000;4702.998000;0
20260201 215800;4703.168000;4710.008000;4696.025000;4706.588000;0
20260201 215900;4706.668000;4713.238000;4698.318000;4709.698000;0
20260201 220000;4709.698000;4726.598000;4707.228000;4726.288000;0
20260201 220100;4726.518000;4727.458000;4710.818000;4716.058000;0
20260201 220200;4716.028000;4721.748000;4713.065000;4717.098000;0
20260201 220300;4717.098000;4718.528000;4707.948000;4710.948000;0
20260201 220400;4710.998000;4711.548000;4704.885000;4705.518000;0
20260201 220500;4706.178000;4718.185000;4703.368000;4713.758000;0
20260201 220600;4714.035000;4721.148000;4707.575000;4719.338000;0
20260201 220700;4719.408000;4723.958000;4715.698000;4718.588000;0
20260201 220800;4718.628000;4720.488000;4709.305000;4710.268000;0
20260201 220900;4710.468000;4718.338000;4705.808000;4718.338000;0
20260201 221000;4718.348000;4721.338000;4709.998000;4709.998000;0
20260201 221100;4709.998000;4711.098000;4706.675000;4708.608000;0
20260201 221200;4708.858000;4712.518000;4706.935000;4710.898000;0
20260201 221300;4710.125000;4715.048000;4697.815000;4702.308000;0
20260201 221400;4702.388000;4707.138000;4687.125000;4690.458000;0
20260201 221500;4690.898000;4694.515000;4657.475000;4669.598000;0
20260201 221600;4669.598000;4682.848000;4669.598000;4679.598000;0
20260201 221700;4679.205000;4698.178000;4674.735000;4697.288000;0
20260201 221800;4697.555000;4704.948000;4696.705000;4703.428000;0
20260201 221900;4703.428000;4717.648000;4701.955000;4715.598000;0
20260201 222000;4715.475000;4717.855000;4712.105000;4714.595000;0
20260201 222100;4714.855000;4724.135000;4713.008000;4723.695000;0
20260201 222200;4723.475000;4728.258000;4717.698000;4718.815000;0
20260201 222300;4718.795000;4720.398000;4713.728000;4718.448000;0
20260201 222400;4717.985000;4718.185000;4714.228000;4715.005000;0
20260201 222500;4715.005000;4717.188000;4713.638000;4713.868000;0
20260201 222600;4714.548000;4717.098000;4712.825000;4713.718000;0
20260201 222700;4713.718000;4713.718000;4702.808000;4705.208000;0
20260201 222800;4705.258000;4705.258000;4693.275000;4697.715000;0
20260201 222900;4697.985000;4700.968000;4693.768000;4694.958000;0
20260201 223000;4695.128000;4699.448000;4692.848000;4695.268000;0
20260201 223100;4695.278000;4695.558000;4683.098000;4685.245000;0
20260201 223200;4685.235000;4687.288000;4675.138000;4678.708000;0
20260201 223300;4678.748000;4682.448000;4670.345000;4675.798000;0
20260201 223400;4675.798000;4679.355000;4671.198000;4672.325000;0
20260201 223500;4672.255000;4679.355000;4657.855000;4658.495000;0
20260201 223600;4658.495000;4662.125000;4648.488000;4661.265000;0
20260201 223700;4661.345000;4671.595000;4659.155000;4666.975000;0
20260201 223800;4666.775000;4669.885000;4648.365000;4648.555000;0
20260201 223900;4648.625000;4656.035000;4645.405000;4653.625000;0
20260201 224000;4653.665000;4655.465000;4634.515000;4638.405000;0
20260201 224100;4638.535000;4651.338000;4629.425000;4650.638000;0
20260201 224200;4650.698000;4657.198000;4644.458000;4647.738000;0
20260201 224300;4647.765000;4664.048000;4646.908000;4663.278000;0
20260201 224400;4663.318000;4672.128000;4655.938000;4664.308000;0
20260201 224500;4665.628000;4669.985000;4662.528000;4664.695000;0
20260201 224600;4664.475000;4670.575000;4664.278000;4666.695000;0
20260201 224700;4666.605000;4678.071000;4666.605000;4676.435000;0
20260201 224800;4677.185000;4683.548000;4666.069000;4682.515000;0
20260201 224900;4683.248000;4693.505000;4682.105000;4685.788000;0
20260201 225000;4685.808000;4685.808000;4671.825000;4679.485000;0
20260201 225100;4679.445000;4679.715000;4670.155000;4673.398000;0
20260201 225200;4673.478000;4674.578000;4669.285000;4673.748000;0
20260201 225300;4673.598000;4673.608000;4665.065000;4669.195000;0
20260201 225400;4669.165000;4674.428000;4657.295000;4657.918000;0
20260201 225500;4657.938000;4663.805000;4652.055000;4658.128000;0
20260201 225600;4658.158000;4664.205000;4652.908000;4656.828000;0
20260201 225700;4656.525000;4660.398000;4646.235000;4646.259000;0
20260201 225800;4646.268000;4648.298000;4637.468000;4644.748000;0
20260201 225900;4644.548000;4650.058000;4640.885000;4645.605000;0
20260201 230000;4646.125000;4658.038000;4640.738000;4657.328000;0
20260201 230100;4657.378000;4658.398000;4618.758000;4619.048000;0
20260201 230200;4619.358000;4623.068000;4610.935000;4613.725000;0
20260201 230300;4613.755000;4616.898000;4607.538000;4616.898000;0
20260201 230400;4617.125000;4618.998000;4608.475000;4609.978000;0
20260201 230500;4608.458000;4625.318000;4602.425000;4618.948000;0
20260201 230600;4619.118000;4637.415000;4619.068000;4636.478000;0
20260201 230700;4636.478000;4637.168000;4627.835000;4634.818000;0
20260201 230800;4634.788000;4650.568000;4634.778000;4649.578000;0
20260201 230900;4649.658000;4658.768000;4647.908000;4654.568000;0
20260201 231000;4654.668000;4659.428000;4647.168000;4655.738000;0
20260201 231100;4655.738000;4655.738000;4646.018000;4647.418000;0
20260201 231200;4647.418000;4651.438000;4632.058000;4640.798000;0
20260201 231300;4640.798000;4650.648000;4636.545000;4649.148000;0
20260201 231400;4649.348000;4662.698000;4649.035000;4660.798000;0
20260201 231500;4661.098000;4672.865000;4659.198000;4670.898000;0
20260201 231600;4670.898000;4674.948000;4668.425000;4672.998000;0
20260201 231700;4672.898000;4674.998000;4662.875000;4666.915000;0
20260201 231800;4666.868000;4676.788000;4666.868000;4675.728000;0
20260201 231900;4675.768000;4696.748000;4675.698000;4696.678000;0
20260201 232000;4696.668000;4703.878000;4684.508000;4689.448000;0
20260201 232100;4689.165000;4692.315000;4681.385000;4682.518000;0
20260201 232200;4682.518000;4686.348000;4678.548000;4683.598000;0
20260201 232300;4683.628000;4683.628000;4674.035000;4677.908000;0
20260201 232400;4677.888000;4683.605000;4675.948000;4679.748000;0
20260201 232500;4679.758000;4688.425000;4677.808000;4684.285000;0
20260201 232600;4684.275000;4684.448000;4672.575000;4676.195000;0
20260201 232700;4676.215000;4686.395000;4675.115000;4676.785000;0
20260201 232800;4676.785000;4678.745000;4671.298000;4675.255000;0
20260201 232900;4675.265000;4678.338000;4667.438000;4669.555000;0
20260201 233000;4669.558000;4677.448000;4668.805000;4675.945000;0
20260201 233100;4676.285000;4697.248000;4675.475000;4696.948000;0
20260201 233200;4697.048000;4698.748000;4688.648000;4688.928000;0
20260201 233300;4688.918000;4694.755000;4684.798000;4690.095000;0
20260201 233400;4690.098000;4691.755000;4682.165000;4685.499000;0
20260201 233500;4685.629000;4685.878000;4675.999000;4679.918000;0
20260201 233600;4679.918000;4692.858000;4679.005000;4689.768000;0
20260201 233700;4689.778000;4690.638000;4682.475000;4683.098000;0
20260201 233800;4681.635000;4686.075000;4668.508000;4668.508000;0
20260201 233900;4668.505000;4670.765000;4663.585000;4666.195000;0
20260201 234000;4666.235000;4669.485000;4657.115000;4665.775000;0
20260201 234100;4665.835000;4676.995000;4664.715000;4676.535000;0
20260201 234200;4676.605000;4676.955000;4663.885000;4667.105000;0
20260201 234300;4667.255000;4685.125000;4667.255000;4684.355000;0
20260201 234400;4684.095000;4690.058000;4681.565000;4687.205000;0
20260201 234500;4687.205000;4698.458000;4683.668000;4698.315000;0
20260201 234600;4698.358000;4706.445000;4698.178000;4703.128000;0
20260201 234700;4702.868000;4712.188000;4698.665000;4702.638000;0
20260201 234800;4702.778000;4702.848000;4686.678000;4687.175000;0
20260201 234900;4687.625000;4692.695000;4685.185000;4685.815000;0
20260201 235000;4685.815000;4688.005000;4673.025000;4687.225000;0
20260201 235100;4687.245000;4691.115000;4682.505000;4683.055000;0
20260201 235200;4682.385000;4684.605000;4677.945000;4683.935000;0
20260201 235300;4683.955000;4687.465000;4675.535000;4684.365000;0
20260201 235400;4684.705000;4689.585000;4682.325000;4684.975000;0
20260201 235500;4684.995000;4687.835000;4676.655000;4677.945000;0
20260201 235600;4677.955000;4680.305000;4671.315000;4673.785000;0
20260201 235700;4673.675000;4683.135000;4672.655000;4677.115000;0
20260201 235800;4677.115000;4686.285000;4677.095000;4678.245000;0
20260201 235900;4678.235000;4683.275000;4676.705000;4678.565000;0
20260202 000000;4678.565000;4679.545000;4668.425000;4677.535000;0
20260202 000100;4677.785000;4689.365000;4677.695000;4687.745000;0
20260202 000200;4687.625000;4692.748000;4680.995000;4681.448000;0
20260202 000300;4681.515000;4686.735000;4677.785000;4685.025000;0
20260202 000400;4685.005000;4692.085000;4683.155000;4689.625000;0
20260202 000500;4689.615000;4695.568000;4687.495000;4688.245000;0
20260202 000600;4688.245000;4691.515000;4670.385000;4674.515000;0
20260202 000700;4674.505000;4674.505000;4660.625000;4671.905000;0
20260202 000800;4672.155000;4679.195000;4669.095000;4672.135000;0
20260202 000900;4672.135000;4674.965000;4666.175000;4672.525000;0
20260202 001000;4672.495000;4676.825000;4667.665000;4672.855000;0
20260202 001100;4672.855000;4675.485000;4663.915000;4666.585000;0
20260202 001200;4666.565000;4668.255000;4654.085000;4659.775000;0
20260202 001300;4659.525000;4661.745000;4648.755000;4649.805000;0
20260202 001400;4649.725000;4662.015000;4649.018000;4660.975000;0
20260202 001500;4661.565000;4669.655000;4657.275000;4657.465000;0
20260202 001600;4657.465000;4672.845000;4657.365000;4671.755000;0
20260202 001700;4671.685000;4673.265000;4667.455000;4668.895000;0
20260202 001800;4668.145000;4672.575000;4660.295000;4664.815000;0
20260202 001900;4665.025000;4665.985000;4656.845000;4660.255000;0
20260202 002000;4660.265000;4665.635000;4659.385000;4664.885000;0
20260202 002100;4664.875000;4668.888000;4651.935000;4655.065000;0
20260202 002200;4654.965000;4654.985000;4648.315000;4653.265000;0
20260202 002300;4653.315000;4664.585000;4652.745000;4663.895000;0
20260202 002400;4664.055000;4668.495000;4662.858000;4666.328000;0
20260202 002500;4666.338000;4667.405000;4661.015000;4666.488000;0
20260202 002600;4666.608000;4670.028000;4663.815000;4666.045000;0
20260202 002700;4666.038000;4668.448000;4660.948000;4661.778000;0
20260202 002800;4661.805000;4663.905000;4653.788000;4659.788000;0
20260202 002900;4659.808000;4664.988000;4653.858000;4657.738000;0
20260202 003000;4657.708000;4657.708000;4636.518000;4636.528000;0
20260202 003100;4635.498000;4641.158000;4617.238000;4626.348000;0
20260202 003200;4626.888000;4634.875000;4620.105000;4631.368000;0
20260202 003300;4631.378000;4641.348000;4624.368000;4640.278000;0
20260202 003400;4640.298000;4640.358000;4628.975000;4631.188000;0
20260202 003500;4631.208000;4642.518000;4630.578000;4635.448000;0
20260202 003600;4635.085000;4637.508000;4613.135000;4614.138000;0
20260202 003700;4614.138000;4614.508000;4604.178000;4604.518000;0
20260202 003800;4604.538000;4621.348000;4603.278000;4616.418000;0
20260202 003900;4616.448000;4623.788000;4616.078000;4622.408000;0
20260202 004000;4622.428000;4624.098000;4600.278000;4612.635000;0
20260202 004100;4612.575000;4614.285000;4603.755000;4604.185000;0
20260202 004200;4604.025000;4604.825000;4597.548000;4600.555000;0
20260202 004300;4600.535000;4613.088000;4597.308000;4599.138000;0
20260202 004400;4599.098000;4600.445000;4571.115000;4574.245000;0
20260202 004500;4574.098000;4578.235000;4560.835000;4561.065000;0
20260202 004600;4561.155000;4575.468000;4557.985000;4574.348000;0
20260202 004700;4575.165000;4577.238000;4554.928000;4554.928000;0
20260202 004800;4554.918000;4555.798000;4546.388000;4546.648000;0
20260202 004900;4546.648000;4555.035000;4522.518000;4550.035000;0
20260202 005000;4549.798000;4568.845000;4532.548000;4544.345000;0
20260202 005100;4544.445000;4562.005000;4527.755000;4527.778000;0
20260202 005200;4527.778000;4529.638000;4512.348000;4514.465000;0
20260202 005300;4514.405000;4525.845000;4496.635000;4520.905000;0
20260202 005400;4520.598000;4538.295000;4511.605000;4536.948000;0
20260202 005500;4536.618000;4542.135000;4524.298000;4539.555000;0
20260202 005600;4539.545000;4540.835000;4526.648000;4530.175000;0
20260202 005700;4529.948000;4539.768000;4519.475000;4539.365000;0
20260202 005800;4539.415000;4565.138000;4538.585000;4563.598000;0
20260202 005900;4563.668000;4563.698000;4540.638000;4547.988000;0
20260202 010000;4547.265000;4572.658000;4545.535000;4568.418000;0
20260202 010100;4568.198000;4570.028000;4553.728000;4565.498000;0
20260202 010200;4565.498000;4566.098000;4540.708000;4552.445000;0
20260202 010300;4551.075000;4562.335000;4544.698000;4562.145000;0
20260202 010400;4562.265000;4562.265000;4553.355000;4556.745000;0
20260202 010500;4556.185000;4556.998000;4546.798000;4552.808000;0
20260202 010600;4552.145000;4556.895000;4529.088000;4533.748000;0
20260202 010700;4533.828000;4544.348000;4523.148000;4524.048000;0
20260202 010800;4524.048000;4537.648000;4519.328000;4533.848000;0
20260202 010900;4533.505000;4562.948000;4532.548000;4549.538000;0
20260202 011000;4549.548000;4561.838000;4548.468000;4550.958000;0
20260202 011100;4550.858000;4560.448000;4547.855000;4554.948000;0
20260202 011200;4555.088000;4557.008000;4535.185000;4537.698000;0
